type,name,url,duration,trigger,start_date,end_date,start_time,end_time
photo,Foot Finder,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/footfinder.jpg,,,,,,
photo,On Cloudmonster 3,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/On_Cloudmonster_3.jpg,,,,,,
photo,Altra Exp Flow 3,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Altra_Experience-Flow-3.jpg,,,,,,
photo,ASICS Cumulus 28,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/ASICS_Cumulus-28.jpg,,,,,,
photo,Saucony Ride 19,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Saucony_Ride19.jpg,,,,,,
photo,HOKA Mach 7,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/HOKA_Mach7.jpg,,,,,,
photo,Adidas Adizero SL Woven,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/AdizeroSLWoven.jpg,,,,,,
photo,New Balance Ellipse,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/New-Balance_Ellipse.jpg,,,,,,
Video,Altra Exp Flow 3 Video,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/S26_Altra_Experience_Flow3_15s_Video_Muted.mp4,,,,,,
photo,Nike Vomero Plus,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/Vomero_Plus.jpg,,,,,,
photo,HOKA Gaviota 5,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/media/HOKA_Gaviota5.jpg,,,,,,
video,AHA Celebration,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/AHACelebration.mp4,,AHA,,,,
video,VIP Trigger,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/files/trigger_media/vip_4k.mp4,,WelcomeVIP,,,,
